actor_name,num_movies
Josh Gad,8
Zoë Kravitz,8
Diedrich Bader,8
Will Patton,8
Wayne Knight,8
Rene Russo,8
Dougray Scott,8
Abbie Cornish,8
Scott Porter,8
Marc Blucas,8
James Coburn,8
Reg E. Cathey,8
Teri Polo,8
Frank Welker,8
Derek Jacobi,8
Sanaa Lathan,8
Alan Ruck,8
F. Murray Abraham,8
Imelda Staunton,8
Kieran Culkin,8
Monica Potter,8
Boris Kodjoe,8
Richard Schiff,8
Peter Coyote,8
Kevin McNally,8
Lea Thompson,8
Kathleen Turner,8
Denis O'Hare,8
Christopher Lambert,8
Charles S. Dutton,8
Sally Hawkins,8
Seymour Cassel,8
Tina Fey,8
Peter Gallagher,8
Lois Maxwell,8
Norman Reedus,8
Bill Duke,8
Mary Lynn Rajskub,8
Harry Connick Jr.,8
M. Emmet Walsh,8
Faye Dunaway,8
Julian Sands,8
Beth Grant,8
William Hootkins,8
Frankie Muniz,8
CCH Pounder,7
Joel David Moore,7
Henry Cavill,7
Stephen Graham,7
Andrew Garfield,7
Tyler Labine,7
Eddie Izzard,7
Eddie Redmayne,7
Sarah Silverman,7
Sela Ward,7
Jordana Brewster,7
Julia Ormond,7
Mike Vogel,7
Brian Blessed,7
Tom Everett Scott,7
Martin Short,7
Stephen McHattie,7
Snoop Dogg,7
Amy Sedaris,7
Stacy Keach,7
Clint Howard,7
James Corden,7
RZA,7
Jim Sturgess,7
Jamie Kennedy,7
Randy Quaid,7
Michael Jeter,7
Amber Valletta,7
Kevin Sussman,7
Paddy Considine,7
Debra Messing,7
Linda Cardellini,7
Elden Henson,7
Roger Rees,7
Danny Huston,7
John Gielgud,7
Lena Olin,7
Sean Pertwee,7
Bridget Fonda,7
Peter Boyle,7
Rory Culkin,7
George Carlin,7
Chris Klein,7
Alison Lohman,7
Judge Reinhold,7
Jack O'Connell,7
Daniel von Bargen,7
Paul Guilfoyle,7
John Witherspoon,7
Timothy Hutton,7
Sophie Okonedo,7
Xander Berkeley,7
Kevin Corrigan,7
Kurtwood Smith,7
Nate Parker,7
Spencer Wilding,7
David Carradine,7
Ellen Barkin,7
Deborah Kara Unger,7
Scoot McNairy,7
Gretchen Mol,7
Regina Hall,7
Noel Gugliemi,7
Madeline Kahn,7
Laz Alonso,7
Daniel Roebuck,7
Thomas F. Wilson,7
Curtis Armstrong,7
Catherine Deneuve,7
Blair Underwood,7
Kenan Thompson,7
Nichelle Nichols,7
Natasha Henstridge,7
Cicely Tyson,7
Shannon Elizabeth,7
George Kennedy,7
Derek Luke,7
Eddie Cibrian,7
Jason Ritter,7
Mark Webber,7
Wes Studi,6
Jack Davenport,6
Brad Garrett,6
M.C. Gainey,6
Christopher Meloni,6
Eva Green,6
Kelsey Grammer,6
Sean Hayes,6
Charlie Hunnam,6
Bai Ling,6
Noah Taylor,6
Chris Bauer,6
Jack McBrayer,6
Andre Braugher,6
Bruce Spence,6
Jaime King,6
Zack Ward,6
Michael O'Neill,6
Alice Braga,6
Ayelet Zurer,6
Kelli Garner,6
Oprah Winfrey,6
Dan Fogler,6
Richard Roxburgh,6
Celia Weston,6
Don Johnson,6
Ronny Cox,6
Molly Shannon,6
Mary Elizabeth Mastrantonio,6
Ioan Gruffudd,6
Justin Theroux,6
Melanie Griffith,6
Danny Woodburn,6
Archie Panjabi,6
Adam Baldwin,6
Moises Arias,6
Chi McBride,6
Ruby Dee,6
Tia Carrere,6
Campbell Scott,6
Chris Noth,6
Kristin Davis,6
Goran Visnjic,6
Kevin Nealon,6
Stephen Dillane,6
Catherine McCormack,6
Gaby Hoffmann,6
Richard E. Grant,6
Elizabeth Daily,6
Hunter Parrish,6
Jane Krakowski,6
Li Gong,6
Roy Scheider,6
Ted Danson,6
Liam Aiken,6
Jose Pablo Cantillo,6
Devin Ratray,6
Joseph Gilgun,6
Jeremy Northam,6
Megan Mullally,6
Jeffrey DeMunn,6
Josh Charles,6
Sarah Gadon,6
Victor Wong,6
Miko Hughes,6
Kathleen Quinlan,6
Matt Walsh,6
Vinessa Shaw,6
Maura Tierney,6
Michael Moore,6
Robert Wagner,6
Isabella Rossellini,6
David Keith,6
Elizabeth Perkins,6
Patrick Fugit,6
Fred Ward,6
Miriam Margolyes,6
Anne Bancroft,6
Tate Donovan,6
Ned Beatty,6
Tracy Morgan,6
Dylan Minnette,6
Ashley Scott,6
Margot Kidder,6
Chris Mulkey,6
Kurt Fuller,6
Madeline Carroll,6
James Mason,6
Kimberly Elise,6
Dash Mihok,6
Tony Cox,6
Alia Shawkat,6
James Ransone,6
Jennifer Esposito,6
Alex Pettyfer,6
Julie Benz,6
Lochlyn Munro,6
Kris Marshall,6
Martin Kove,6
Isabelle Huppert,6
Roddy McDowall,6
Topher Grace,6
Gena Rowlands,6
Macaulay Culkin,6
Dane Cook,6
Carol Kane,6
Bridgette Wilson-Sampras,6
Aaron Yoo,6
Tamala Jones,6
Beau Bridges,6
Jim Gaffigan,6
Marley Shelton,6
Zach Gilford,6
John Savage,6
Brenda Blethyn,6
Yaphet Kotto,6
David Hewlett,6
Alex Rocco,6
Martin Starr,6
Lew Temple,6
Paula Garcés,6
Nicholas Gonzalez,6
Ari Graynor,6
Shawn Hatosy,6
Elaine Hendrix,6
Dom DeLuise,6
Teri Garr,6
Mark Duplass,6
Steve Guttenberg,6
Corbin Bleu,6
Corbin Bernsen,6
Kane Hodder,6
Shawnee Smith,6
Anupam Kher,6
Rory Kinnear,5
Daryl Sabara,5
Mathieu Amalric,5
Ramon Rodriguez,5
Richard Coyle,5
A.J. Buckley,5
Jeff Garlin,5
Jeanne Tripplehorn,5
Garry Shandling,5
Mary Kay Place,5
Omar Benson Miller,5
Rami Malek,5
Armin Mueller-Stahl,5
Sean Harris,5
Cara Delevingne,5
Nonso Anozie,5
Julian Glover,5
Jean Simmons,5
Peter Mensah,5
Rafe Spall,5
Lukas Haas,5
Lisa Ann Walter,5
Emma Watson,5
D.B. Sweeney,5
Verne Troyer,5
Stephanie Szostak,5
Jürgen Prochnow,5
Bruce Davison,5
Michael Gough,5
Karen Allen,5
Noel Fisher,5
Vincent Schiavelli,5
Joe Don Baker,5
Jason Patric,5
Cécile De France,5
